pressure, n./v., 压力，紧张；气压 / 强迫
pressured, adj., （感到有）压力的
achievement, n., 成就
achieve, v., 完成；达到
ambition, n., 追求；野心；雄心
aim, n./v., 目标 / 瞄准
ambitious, adj., 有野心的；雄心壮志的
compare, v., 比较
comparison, n., 比较；对照
lifestyle, n., 生活方式
insist, v., 坚持认为；坚决主张
confirmed, adj., 确认的；坚定的
confirm, v., 确认
focus, n./v., 中心点；聚焦点 / 专注；聚焦
focused, adj., 有明确目标的；注意力集中的
media, n., 媒介；媒体
theory, n., 理论
celebrity, n., 名流；名人
last, v./adj., 持续 / 最近的；最后的；上一个
limited, adj., 有限的；受限的
limit, v./n., 限制 / 限制；界限
status, n., 地位，身份；情形，状态
youth, n., 青少年时期
childhood, n., 童年
satisfaction, n., 满意
satisfy, v., 使满意；满足
satisfied, adj., 满意的
apparent, adj., 明显的，显而易见的
dramatic, adj., 戏剧（性）的；突然的
drama, n., 戏剧；戏剧性事件
dramatically, adv., 戏剧地；显著地
shift, n./v., 转移；转变；改变 / 转变；轮班
highlight, v./n., 突出，强调 / 最好的部分；高光时刻
highlighter, n., 荧光笔
realistic, adj., 现实的，务实的
